phase,window_s,mode,method,cluster_id,n_members,n_cheaters,cheater_rate,fisher_p,latency_median,is_high_risk,member_ids
T2_pre,10,pooled,kmeans_k2,1,35,19,0.5428571428571428,0.2272371826164869,17.733000000000004,False,73;76;90;110;112;189;212;221;224;248;250;256;259;275;286;310;313;328;355;361;362;370;373;378;393;403;408;427;431;442;444;463;468;469;471
T3_post,2,pooled,hdbscan,-1,9,3,0.3333333333333333,0.3162394727663369,29.967,False,39;190;214;234;251;265;275;309;325
T3_post,2,pooled,hdbscan,0,23,15,0.6521739130434783,0.16059465080789925,12.35499999999999,False,6;206;212;223;224;237;253;259;284;307;343;350;354;361;378;388;403;411;431;442;463;468;469
T3_post,2,pooled,hdbscan,1,78,38,0.48717948717948717,0.5322639115950174,11.849999999999994,False,4;8;30;40;61;69;73;76;90;91;93;96;103;110;112;150;158;160;165;166;176;183;189;198;210;215;221;227;229;230;232;235;241;248;250;256;286;288;308;310;313;320;321;322;323;328;329;340;348;355;357;362;370;375;377;380;381;384;391;393;396;398;401;402;405;408;413;415;416;421;427;432;440;445;464;471;14;86
T3_post,2,pooled,kmeans_k4,0,24,14,0.5833333333333334,0.49134297575581687,11.860499999999988,False,6;103;212;223;224;237;253;259;284;286;307;343;350;354;361;378;388;393;403;411;431;463;468;469
T3_post,2,pooled,kmeans_k4,1,29,14,0.4827586206896552,0.8297689726057691,11.849999999999994,False,8;30;40;93;150;183;198;210;221;241;251;256;265;275;310;313;321;325;329;355;357;380;384;396;408;415;432;464;86
T3_post,2,pooled,kmeans_k4,2,35,17,0.4857142857142857,0.8383980455565855,16.165999999999997,False,4;39;61;73;76;90;91;96;112;160;165;166;189;227;229;234;248;250;308;309;320;323;328;340;348;362;375;381;391;401;402;416;445;471;14
T3_post,2,pooled,kmeans_k4,3,22,11,0.5,1.0,13.900000000000006,False,69;110;158;176;190;206;214;215;230;232;235;288;322;370;377;398;405;413;421;427;440;442
T3_post,5,pooled,hdbscan,-1,35,19,0.5428571428571428,1.0,12.591999999999999,False,6;93;198;227;230;237;241;250;251;256;265;286;310;320;321;322;340;343;355;357;361;362;380;388;393;396;401;413;431;440;464;468;469;471;86
T3_post,5,pooled,hdbscan,0,49,24,0.4897959183673469,0.4090788285208298,13.983500000000006,False,30;39;40;61;69;76;90;96;103;110;112;150;158;166;183;189;206;210;212;221;229;232;234;248;253;259;275;288;307;308;309;313;323;325;328;329;350;354;381;384;398;403;405;408;415;421;427;445;463
T3_post,5,pooled,hdbscan,1,8,6,0.75,0.27573339495560806,12.9525,False,190;223;224;235;284;377;378;411
T3_post,5,pooled,kmeans_k5,0,15,11,0.7333333333333333,0.09998037741717669,12.35499999999999,True,93;190;206;223;224;235;237;284;377;378;401;405;411;427;431
T3_post,5,pooled,kmeans_k5,1,24,12,0.5,0.813143945766464,15.834000000000003,False,6;30;39;90;112;183;221;232;248;250;253;288;308;309;322;350;354;380;393;403;413;421;445;463
T3_post,5,pooled,kmeans_k5,2,16,11,0.6875,0.2700871281410918,9.049999999999985,False,40;76;103;229;241;251;275;321;325;329;355;361;381;388;415;471
T3_post,5,pooled,kmeans_k5,3,17,5,0.29411764705882354,0.034436871839006386,11.849999999999994,False,110;150;198;256;259;265;313;320;340;343;362;384;396;398;408;464;86
T3_post,5,pooled,kmeans_k5,4,20,10,0.5,0.8032099199866647,18.766999999999996,False,61;69;96;158;166;189;210;212;227;230;234;286;307;310;323;328;357;440;468;469
